NU_ANO;CO_CURSO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO
2025;15783;1999;2020;3
2025;1108281;1999;2020;3
2025;1193275;1999;2020;3
2025;1321864;1999;2020;3
2025;1322329;1999;2020;3
2025;1408505;1999;2024;3
2025;1465625;1999;2021;3
2025;1465625;1999;2020;3
2025;1178524;1999;2020;3
2025;1465625;1999;2020;3
2025;1193275;1999;2020;3
2025;1465625;1999;2021;3
2025;1180318;1999;2020;3
2025;65114;1999;2022;3
2025;1408509;1999;2020;3
2025;97679;1999;2019;3
2025;1465625;1999;2021;3
2025;72767;1999;2020;3
2025;1465625;1999;2020;3
2025;19206;1999;2021;4
2025;64706;1999;2021;3
2025;1485621;1999;2020;3
2025;1257524;1999;2019;4
2025;1465625;1999;2021;3
2025;1180318;1999;2020;3
2025;65114;1999;2021;3
2025;1465625;1999;2020;3
2025;1408505;1999;2018;3
2025;1465625;1999;2020;3
2025;1397772;1999;2020;3
2025;72667;1999;2020;3
2025;1465625;1999;2021;3
2025;72667;1999;2020;3
2025;1322329;1999;2022;3
2025;1029204;1999;2020;3
2025;1184325;1999;2020;3
2025;1180318;1999;2020;3
2025;85652;1999;2021;3
2025;1465625;1999;2020;3
2025;1168313;1999;2019;3
2025;1399614;1999;2021;4
2025;1465625;1999;2021;3
2025;1465625;1999;2021;3
2025;72681;1999;2020;3
2025;5000979;1999;2021;3
2025;1465625;1999;2021;3
2025;5000812;1999;2020;3
2025;1399479;1999;2024;3
2025;1465625;1999;2020;3
2025;1465625;1999;2021;3
2025;1421100;1999;2020;3
2025;86288;1999;2021;3
2025;1465625;1999;2021;3
2025;1465625;1999;2021;3
2025;57402;1999;2020;3
2025;1385538;1999;2019;3
2025;72675;1999;2021;3
2025;1487491;1999;2020;3
2025;60660;1999;2018;3
2025;100958;1999;2020;3
2025;57402;1999;2020;3
2025;10591;1999;2021;3
2025;1465625;1999;2021;3
2025;1184060;1999;2019;3
2025;1483805;1999;2020;3
2025;1465625;1999;2021;3
2025;1408259;1999;2020;3
2025;1168313;1999;2022;3
2025;1465625;1999;2021;3
2025;1483805;1999;2020;3
2025;1465625;1999;2021;3
2025;1108281;1999;2021;3
2025;1465625;1999;2021;3
2025;1184047;1999;2020;3
2025;1465625;1999;2021;3
2025;1180318;1999;2020;3
2025;1465625;1999;2020;3
2025;10591;1999;2022;3
2025;4720;1999;2020;3
2025;1465625;1999;2020;3
2025;1399618;1999;2020;4
2025;1465625;1999;2021;3
2025;1135207;1999;2020;3
2025;1465625;1999;2020;3
2025;1465625;1999;2020;3
2025;1465625;1999;2020;3
2025;1408259;1999;2021;3
2025;65114;1999;2022;3
2025;1292917;1999;2020;3
2025;57402;1999;2019;3
2025;65114;1999;2022;3
2025;1465625;1999;2021;3
2025;1465625;1999;2021;3
2025;1465625;1999;2021;3
2025;1465625;1999;2021;3
2025;1408262;1999;2021;3
2025;5000931;1999;2020;3
2025;1465625;1999;2020;3
2025;1483759;1999;2020;3
2025;1168313;1999;2020;3
2025;1465625;1999;2021;3
2025;1108786;1999;2022;3
2025;71859;1999;2020;3
2025;1487491;1999;2023;3
2025;1190280;1999;2019;3
2025;79007;1999;2021;3
2025;1421013;1999;2020;3
2025;6711;1999;2020;3
2025;64918;1999;2020;3
2025;1465625;1999;2020;3
2025;12015;1999;2018;3
2025;1465625;1999;2020;3
2025;80037;1999;2019;3
2025;1465625;1999;2021;3
2025;1193275;1999;2020;3
2025;1399615;1999;2020;3
2025;1322329;1999;2023;3
2025;1465625;1999;2021;3
2025;1465625;1999;2020;3
2025;9996;1999;2020;3
2025;91219;1999;2020;3
2025;1408508;1999;2021;4
2025;72669;1999;2021;3
2025;1102360;1999;2020;3
2025;71859;1999;2020;3
2025;1465625;1999;2020;3
2025;72667;1999;2020;3
2025;8698;1999;2023;3
2025;1191415;1999;2020;3
2025;65924;1999;2022;3
2025;1465625;1999;2021;3
2025;1465625;1999;2020;3
2025;1465625;1999;2021;3
2025;1465625;1999;2021;3
2025;1465625;1999;2020;3
2025;5000979;1999;2020;3
2025;65114;1999;2021;3
2025;18472;1999;2020;3
2025;65114;1999;2022;3
2025;1465625;1999;2021;3
2025;1465625;1999;2020;3
2025;1200712;1999;2021;3
2025;1180318;1999;2020;3
2025;1465625;1999;2021;3
2025;1465625;1999;2021;3
2025;1322329;1999;2020;3
2025;1465625;1999;2020;3
2025;65114;1999;2020;3
2025;1465625;1999;2020;3
2025;98506;1999;2020;3
2025;1465625;1999;2021;3
2025;1465625;1999;2020;3
2025;1465625;1999;2021;3
2025;107766;1999;2020;3
2025;65114;1999;2022;3
2025;1465625;1999;2020;3
2025;1465625;1999;2021;3
2025;1465625;1999;2021;3
2025;1465625;1999;2020;3
2025;1292713;1999;2019;3
2025;1178672;1999;2019;3
2025;1465625;1999;2020;3
2025;1185903;1999;2022;3
2025;37304;1999;2022;4
2025;1465625;1999;2021;3
2025;9996;1999;2020;3
2025;5000979;1999;2020;3
